fid,Src,Dest,Heading,Parent_Layer,Steps,Sheltered,Distance,Time_Cost,geometry_type,coordinates
10,AS2-Level3-Stair2-Entrance,AS2-Level3-Stair1-Entrance,N,AS2_L3_ROOMS,0,T,3,2,LineString,"[[11551765.592041595, 144183.60780534265], [11551766.847342553, 144186.7915601742]]"
11,AS2-Level3-Stair1-Entrance,AS2-0311-Entrance,E,AS2_L3_ROOMS,0,T,4,3,LineString,"[[11551766.847342553, 144186.7915601742], [11551770.959316257, 144185.51405378027]]"
11,AS2-0311-Entrance,AS2-Level3-Stair1-Entrance,W,AS2_L3_ROOMS,0,T,4,3,LineString,"[[11551770.959316257, 144185.51405378027], [11551766.847342553, 144186.7915601742]]"
12,AS2-0311-Entrance,AS2-0311,N,AS2_L3_ROOMS,0,T,3,2,LineString,"[[11551770.959316257, 144185.51405378027], [11551772.4016575, 144190.12396175443]]"
12,AS2-0311,AS2-0311-Entrance,S,AS2_L3_ROOMS,0,T,3,2,LineString,"[[11551772.4016575, 144190.12396175443], [11551770.959316257, 144185.51405378027]]"
1,AS2-Level4-Stair1,AS2-Level4-Stair-Entrance,E,AS2_L4_ROOMS,0,T,5,4,LineString,"[[11551784.499569705, 144180.06263155662], [11551789.174757203, 144182.77725655618]]"
1,AS2-Level4-Stair-Entrance,AS2-Level4-Stair1,W,AS2_L4_ROOMS,0,T,5,4,LineString,"[[11551789.174757203, 144182.77725655618], [11551784.499569705, 144180.06263155662]]"
2,AS2-Level4-Stair-Entrance,AS2-Level4-Stair2,E,AS2_L4_ROOMS,0,T,8,6,LineString,"[[11551789.174757203, 144182.77725655618], [11551796.288080119, 144186.27107947224]]"
2,AS2-Level4-Stair2,AS2-Level4-Stair-Entrance,W,AS2_L4_ROOMS,0,T,8,6,LineString,"[[11551796.288080119, 144186.27107947224], [11551789.174757203, 144182.77725655618]]"
3,AS2-Level4-Stair-Entrance,AS2-0413,N,AS2_L4_ROOMS,0,T,4,3,LineString,"[[11551789.174757203, 144182.77725655618], [11551786.535538454, 144186.44702738887]]"
3,AS2-0413,AS2-Level4-Stair-Entrance,S,AS2_L4_ROOMS,0,T,4,3,LineString,"[[11551786.535538454, 144186.44702738887], [11551789.174757203, 144182.77725655618]]"
1,AS2-Level5-Stair,AS2-Level5-Stair-Entrance,E,AS2_L5_ROOMS,0,T,5,4,LineString,"[[11551811.174923353, 144193.89692924274], [11551815.699298352, 144196.03343965905]]"
1,AS2-Level5-Stair-Entrance,AS2-Level5-Stair,W,AS2_L5_ROOMS,0,T,5,4,LineString,"[[11551815.699298352, 144196.03343965905], [11551811.174923353, 144193.89692924274]]"
2,AS2-Level5-Stair-Entrance,AS2-0509-Entrance,W,AS2_L5_ROOMS,0,T,14,10,LineString,"[[11551815.699298352, 144196.03343965905], [11551814.074922038, 144198.66951648146], [11551804.071026208, 144193.416214399]]"
2,AS2-0509-Entrance,AS2-Level5-Stair-Entrance,E,AS2_L5_ROOMS,0,T,14,10,LineString,"[[11551804.071026208, 144193.416214399], [11551814.074922038, 144198.66951648146], [11551815.699298352, 144196.03343965905]]"
3,AS2-0509-Entrance,AS2-0510-Entrance,W,AS2_L5_ROOMS,0,T,3,2,LineString,"[[11551804.071026208, 144193.416214399], [11551801.381536623, 144191.98349564924]]"
3,AS2-0510-Entrance,AS2-0509-Entrance,E,AS2_L5_ROOMS,0,T,3,2,LineString,"[[11551801.381536623, 144191.98349564924], [11551804.071026208, 144193.416214399]]"
4,AS2-0509-Entrance,AS2-0509,N,AS2_L5_ROOMS,0,T,2,1,LineString,"[[11551804.071026208, 144193.416214399], [11551803.266692875, 144194.84893314878]]"
4,AS2-0509,AS2-0509-Entrance,S,AS2_L5_ROOMS,0,T,2,1,LineString,"[[11551803.266692875, 144194.84893314878], [11551804.071026208, 144193.416214399]]"
5,AS2-0510-Entrance,AS2-0510,N,AS2_L5_ROOMS,0,T,2,1,LineString,"[[11551801.381536623, 144191.98349564924], [11551800.57720329, 144193.2905373157]]"
5,AS2-0510,AS2-0510-Entrance,S,AS2_L5_ROOMS,0,T,2,1,LineString,"[[11551800.57720329, 144193.2905373157], [11551801.381536623, 144191.98349564924]]"
